Word: thanks| Confidence Measure: 3.713572066704308
Word: to| Confidence Measure: 2.5649493574615367
Word: taking| Confidence Measure: 3.4965075614664802
Word: the| Confidence Measure: 2.302585092994046
Word: time| Confidence Measure: 3.4965075614664802
Word: to| Confidence Measure: 2.4849066497880004
Word: download| Confidence Measure: 4.0943445622221
Word: this| Confidence Measure: 3.044522437723423
Word: BBC| Confidence Measure: 4.174387269895637
Word: radio| Confidence Measure: 3.6888794541139363
Word: five| Confidence Measure: 3.6375861597263857
Word: live| Confidence Measure: 3.4011973816621555
Word: [SILENCE]| Confidence Measure: 0.0
Word: podcast| Confidence Measure: 4.948759890378168
Word: [SILENCE]| Confidence Measure: 0.0
Word: to| Confidence Measure: 2.70805020110221
Word: find| Confidence Measure: 3.5263605246161616
Word: other| Confidence Measure: 3.1354942159291497
Word: programs| Confidence Measure: 4.04305126783455
Word: you| Confidence Measure: 2.3978952727983707
Word: might| Confidence Measure: 3.044522437723423
Word: be| Confidence Measure: 2.70805020110221
Word: interested| Confidence Measure: 3.970291913552122
Word: in| Confidence Measure: 3.258096538021482
Word: [SILENCE]| Confidence Measure: 0.0
Word: a| Confidence Measure: 1.0986122886681098
Word: click| Confidence Measure: 3.367295829986474
Word: [NOISE]| Confidence Measure: 1.0986122886681098
Word: BBC| Confidence Measure: 4.0943445622221
Word: dot| Confidence Measure: 2.8903717578961645
Word: co| Confidence Measure: 3.044522437723423
Word: dot| Confidence Measure: 2.70805020110221
Word: UK| Confidence Measure: 3.7376696182833684
Word: [NOISE]| Confidence Measure: 1.0986122886681098
Word: slash| Confidence Measure: 3.912023005428146
Word: five| Confidence Measure: 3.4011973816621555
Word: live| Confidence Measure: 3.784189633918261
Word: [NOISE]| Confidence Measure: 1.0986122886681098
Word: where| Confidence Measure: 3.5263605246161616
Word: you'll| Confidence Measure: 2.995732273553991
Word: also| Confidence Measure: 3.4657359027997265
Word: find| Confidence Measure: 3.713572066704308
Word: our| Confidence Measure: 2.5649493574615367
Word: terms| Confidence Measure: 3.5263605246161616
Word: of| Confidence Measure: 2.1972245773362196
Word: use| Confidence Measure: 3.8501476017100584
Word: [SILENCE]| Confidence Measure: 3.091042453358316
Word: !NULL| Confidence Measure: 0.0
Word: [SILENCE]| Confidence Measure: 2.1972245773362196
Word: this| Confidence Measure: 3.2188758248682006
Word: is| Confidence Measure: 2.4849066497880004
Word: nicky| Confidence Measure: 3.1780538303479458
Word: campbell| Confidence Measure: 3.5263605246161616
Word: [NOISE]| Confidence Measure: 1.0986122886681098
Word: and| Confidence Measure: 3.091042453358316
Word: this| Confidence Measure: 3.2188758248682006
Word: is| Confidence Measure: 2.302585092994046
Word: the| Confidence Measure: 2.4849066497880004
Word: podcast| Confidence Measure: 3.912023005428146
Word: of| Confidence Measure: 2.4849066497880004
Word: your| Confidence Measure: 3.295836866004329
Word: call| Confidence Measure: 3.871201010907891
Word: [SILENCE]| Confidence Measure: 0.0
Word: where| Confidence Measure: 3.044522437723423
Word: you| Confidence Measure: 3.295836866004329
Word: have| Confidence Measure: 2.4849066497880004
Word: your| Confidence Measure: 3.1354942159291497
Word: say| Confidence Measure: 4.04305126783455
Word: [SILENCE]| Confidence Measure: 0.0
Word: well| Confidence Measure: 3.044522437723423
Word: live| Confidence Measure: 3.2188758248682006
Word: every| Confidence Measure: 3.1780538303479458
Word: weekday| Confidence Measure: 3.713572066704308
Word: from| Confidence Measure: 2.70805020110221
Word: nine| Confidence Measure: 3.295836866004329
Word: am| Confidence Measure: 3.8066624897703196
Word: [SILENCE]| Confidence Measure: 0.0
Word: so| Confidence Measure: 3.295836866004329
Word: don't| Confidence Measure: 3.295836866004329
Word: phone| Confidence Measure: 3.1780538303479458
Word: or| Confidence Measure: 2.1972245773362196
Word: text| Confidence Measure: 3.4339872044851463
Word: in| Confidence Measure: 2.4849066497880004
Word: now| Confidence Measure: 3.8066624897703196
